,Istasyon_No,Istasyon_Adi,YIL,AY,GUN,SAAT,SICAKLIK_°C
24338,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,14.0,12.4
24339,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,15.0,11.1
24340,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,16.0,11.0
24341,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,17.0,10.3
24342,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,18.0,8.8
24343,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,19.0,8.1
24344,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,20.0,7.9
24345,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,21.0,8.8
24346,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,22.0,8.8
24347,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,23.0,8.9
24348,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,0.0,8.4
24349,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,1.0,8.6
24350,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,2.0,9.3
24351,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,3.0,9.8
24352,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,4.0,8.5
24353,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,5.0,9.2
24354,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,6.0,8.5
24355,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,7.0,8.8
24356,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,8.0,5.9
24357,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,9.0,4.3
24358,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,10.0,4.2
24359,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,11.0,3.4
24360,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,12.0,2.9
24361,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,13.0,2.4
