Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,5.579030,5.642200,5.508930,5.584000,5.584000,0
2018-11-02,5.520830,5.524700,5.410910,5.524800,5.524800,0
2018-11-05,5.424510,5.473600,5.342300,5.431000,5.431000,0
2018-11-06,5.318700,5.415470,5.300300,5.320100,5.320100,0
2018-11-07,5.360700,5.410100,5.321350,5.361200,5.361200,0
2018-11-08,5.363300,5.474400,5.357460,5.363600,5.363600,0
2018-11-09,5.455980,5.538470,5.448930,5.457040,5.457040,0
2018-11-12,5.457540,5.511700,5.429020,5.460820,5.460820,0
2018-11-13,5.471500,5.523620,5.451500,5.471800,5.471800,0
2018-11-14,5.473550,5.489660,5.450730,5.478000,5.478000,0
2018-11-15,5.462400,5.467500,5.301920,5.456970,5.456970,0
2018-11-16,5.386410,5.390100,5.317190,5.393900,5.393900,0
2018-11-19,5.333160,5.365900,5.303000,5.337700,5.337700,0
2018-11-20,5.312900,5.434230,5.306230,5.312000,5.312000,0
2018-11-21,5.377430,5.393600,5.278060,5.382500,5.382500,0
2018-11-22,5.314470,5.336100,5.273930,5.313020,5.313020,0
2018-11-23,5.298400,5.310800,5.259230,5.298500,5.298500,0
2018-11-26,5.296800,5.297900,5.218800,5.291460,5.291460,0
2018-11-27,5.245100,5.293100,5.224110,5.244840,5.244840,0
2018-11-28,5.255600,5.273300,5.244550,5.262000,5.262000,0
2018-11-29,5.218900,5.227600,5.134380,5.219000,5.219000,0
2018-11-30,5.165880,5.250520,5.149870,5.170200,5.170200,0
2018-12-03,5.191900,5.281200,5.143120,5.190210,5.190210,0
2018-12-04,5.251500,5.443050,5.232920,5.250800,5.250800,0
2018-12-05,5.384960,5.449880,5.309100,5.382630,5.382630,0
2018-12-06,5.322860,5.398200,5.321010,5.326700,5.326700,0
2018-12-07,5.338000,5.350800,5.262530,5.338000,5.338000,0
2018-12-10,5.322200,5.350010,5.272250,5.322400,5.322400,0
2018-12-11,5.322300,5.400130,5.306320,5.328300,5.328300,0
2018-12-12,5.359800,5.392800,5.330280,5.360200,5.360200,0
2018-12-13,5.343760,5.385100,5.304040,5.346900,5.346900,0
2018-12-14,5.345100,5.418110,5.341340,5.341670,5.341670,0
2018-12-17,5.367030,5.395120,5.364520,5.367700,5.367700,0
2018-12-18,5.373200,5.388900,5.332900,5.373000,5.373000,0
2018-12-19,5.339900,5.350600,5.231000,5.336080,5.336080,0
2018-12-20,5.297800,5.319900,5.223900,5.297700,5.297700,0
2018-12-21,5.257200,5.319090,5.244150,5.264200,5.264200,0
2018-12-24,5.311060,5.319700,5.279400,5.310990,5.310990,0
2018-12-25,5.289300,5.340000,5.278490,5.289400,5.289400,0
2018-12-26,5.279780,5.297600,5.272510,5.284300,5.284300,0
2018-12-27,5.278900,5.301800,5.268970,5.274150,5.274150,0
2018-12-28,5.288560,5.298500,5.253860,5.293380,5.293380,0
2018-12-31,5.274520,5.317100,5.270720,5.274280,5.274280,0
2019-01-01,5.287300,5.288500,5.284000,5.270000,5.270000,0
2019-01-02,5.288900,5.411500,5.280920,5.288700,5.288700,0
2019-01-03,5.506200,5.571800,5.400900,5.515300,5.515300,0
2019-01-04,5.470200,5.470200,5.333830,5.472200,5.472200,0
2019-01-07,5.328100,5.408700,5.319170,5.327000,5.327000,0
2019-01-08,5.380640,5.511280,5.379840,5.383800,5.383800,0
2019-01-09,5.470070,5.542100,5.443800,5.482500,5.482500,0
2019-01-10,5.477900,5.502200,5.399330,5.475600,5.475600,0
2019-01-11,5.424740,5.495800,5.414000,5.424420,5.424420,0
